t_mid_s,Session,Band,Region,Value
0.0,PLANT_KINGDOM_INDOOR,logTAR,GLOBAL,-0.7806767615106716
0.12488985,PLANT_KINGDOM_INDOOR,logTAR,GLOBAL,-0.9153538228250289
0.249979973,PLANT_KINGDOM_INDOOR,logTAR,GLOBAL,-0.9646865114565937
0.374869824,PLANT_KINGDOM_INDOOR,logTAR,GLOBAL,-1.0007133655637164
0.499959946,PLANT_KINGDOM_INDOOR,logTAR,GLOBAL,-1.0154252468743103
0.62485981,PLANT_KINGDOM_INDOOR,logTAR,GLOBAL,-1.0943614944962008
0.749850035,PLANT_KINGDOM_INDOOR,logTAR,GLOBAL,-0.9916905959522909
0.874739885,PLANT_KINGDOM_INDOOR,logTAR,GLOBAL,-0.8512987870547899
0.999729872,PLANT_KINGDOM_INDOOR,logTAR,GLOBAL,-0.745237879871491
1.124629974,PLANT_KINGDOM_INDOOR,logTAR,GLOBAL,-0.6869226846260188
1.249719859,PLANT_KINGDOM_INDOOR,logTAR,GLOBAL,-0.7030801401728807
1.374609948,PLANT_KINGDOM_INDOOR,logTAR,GLOBAL,-0.6913758121071392
1.499599934,PLANT_KINGDOM_INDOOR,logTAR,GLOBAL,-0.7011431301582685
1.624500037,PLANT_KINGDOM_INDOOR,logTAR,GLOBAL,-0.8150595622368506
1.74958992,PLANT_KINGDOM_INDOOR,logTAR,GLOBAL,-0.9488462014001574
1.874480009,PLANT_KINGDOM_INDOOR,logTAR,GLOBAL,-0.9652434855140575
1.999569893,PLANT_KINGDOM_INDOOR,logTAR,GLOBAL,-0.8388681604631831
2.124469996,PLANT_KINGDOM_INDOOR,logTAR,GLOBAL,-0.7092841447625886
2.24955988,PLANT_KINGDOM_INDOOR,logTAR,GLOBAL,-0.619833966348417
2.374449969,PLANT_KINGDOM_INDOOR,logTAR,GLOBAL,-0.5928736763154085
2.499539853,PLANT_KINGDOM_INDOOR,logTAR,GLOBAL,-0.53759525158577
2.624439955,PLANT_KINGDOM_INDOOR,logTAR,GLOBAL,-0.5858953213391429
2.749529838,PLANT_KINGDOM_INDOOR,logTAR,GLOBAL,-0.7208685117076665
2.874419927,PLANT_KINGDOM_INDOOR,logTAR,GLOBAL,-0.8731654229397552
2.999509812,PLANT_KINGDOM_INDOOR,logTAR,GLOBAL,-0.8461416337432075
3.124300003,PLANT_KINGDOM_INDOOR,logTAR,GLOBAL,-0.663759000947245
3.249399901,PLANT_KINGDOM_INDOOR,logTAR,GLOBAL,-0.3356057309969983
3.374389887,PLANT_KINGDOM_INDOOR,logTAR,GLOBAL,-0.08355492025382517
3.499480009,PLANT_KINGDOM_INDOOR,logTAR,GLOBAL,0.2549157699111034
3.624469996,PLANT_KINGDOM_INDOOR,logTAR,GLOBAL,0.3529681017611306
3.749569893,PLANT_KINGDOM_INDOOR,logTAR,GLOBAL,0.27815881059858044
3.874459981,PLANT_KINGDOM_INDOOR,logTAR,GLOBAL,0.2002228765634931
3.999549866,PLANT_KINGDOM_INDOOR,logTAR,GLOBAL,0.07449485711429626
4.124339819,PLANT_KINGDOM_INDOOR,logTAR,GLOBAL,0.021896831612731923
4.249439955,PLANT_KINGDOM_INDOOR,logTAR,GLOBAL,-0.0024020676627684173
4.374429942,PLANT_KINGDOM_INDOOR,logTAR,GLOBAL,0.19589758307793587
4.499519825,PLANT_KINGDOM_INDOOR,logTAR,GLOBAL,0.32798947741103196
4.624509812,PLANT_KINGDOM_INDOOR,logTAR,GLOBAL,0.33609194461135056
4.749609948,PLANT_KINGDOM_INDOOR,logTAR,GLOBAL,0.2247493093651131
4.874500037,PLANT_KINGDOM_INDOOR,logTAR,GLOBAL,0.04574703834455877
4.99958992,PLANT_KINGDOM_INDOOR,logTAR,GLOBAL,-0.08690367119789585
