t_mid_s,Session,Band,Region,Value
0.0,PLANT_KINGDOM_OUTDOOR,logTAR,GLOBAL,-0.7861381927801329
0.125069857,PLANT_KINGDOM_OUTDOOR,logTAR,GLOBAL,-0.8327779467089556
0.250050068,PLANT_KINGDOM_OUTDOOR,logTAR,GLOBAL,-0.8581590036679194
0.375020027,PLANT_KINGDOM_OUTDOOR,logTAR,GLOBAL,-0.9560840887887398
0.499799967,PLANT_KINGDOM_OUTDOOR,logTAR,GLOBAL,-0.983089654583981
0.624579907,PLANT_KINGDOM_OUTDOOR,logTAR,GLOBAL,-1.0316805311497153
0.749449968,PLANT_KINGDOM_OUTDOOR,logTAR,GLOBAL,-0.9026819073357968
0.874530077,PLANT_KINGDOM_OUTDOOR,logTAR,GLOBAL,-0.9230309803896783
0.999609947,PLANT_KINGDOM_OUTDOOR,logTAR,GLOBAL,-0.9549383733985874
1.124490023,PLANT_KINGDOM_OUTDOOR,logTAR,GLOBAL,-0.8715343028468157
1.249559879,PLANT_KINGDOM_OUTDOOR,logTAR,GLOBAL,-0.8475923584162781
1.374439955,PLANT_KINGDOM_OUTDOOR,logTAR,GLOBAL,-0.8551282497221442
1.499520063,PLANT_KINGDOM_OUTDOOR,logTAR,GLOBAL,-0.841583858229098
1.624690056,PLANT_KINGDOM_OUTDOOR,logTAR,GLOBAL,-0.70296492330243
1.749670029,PLANT_KINGDOM_OUTDOOR,logTAR,GLOBAL,-0.7883535350389523
1.874850035,PLANT_KINGDOM_OUTDOOR,logTAR,GLOBAL,-0.9535862391322217
1.999619961,PLANT_KINGDOM_OUTDOOR,logTAR,GLOBAL,-1.0364839613476264
2.124700069,PLANT_KINGDOM_OUTDOOR,logTAR,GLOBAL,-0.9810419411843834
2.249870062,PLANT_KINGDOM_OUTDOOR,logTAR,GLOBAL,-0.9393825416606281
2.374860048,PLANT_KINGDOM_OUTDOOR,logTAR,GLOBAL,-0.8196055769194834
2.499840021,PLANT_KINGDOM_OUTDOOR,logTAR,GLOBAL,-0.6851010065100218
2.624830008,PLANT_KINGDOM_OUTDOOR,logTAR,GLOBAL,-0.5512644496404089
2.74980998,PLANT_KINGDOM_OUTDOOR,logTAR,GLOBAL,-0.4749587353197068
2.874799967,PLANT_KINGDOM_OUTDOOR,logTAR,GLOBAL,-0.6351751387982438
2.99977994,PLANT_KINGDOM_OUTDOOR,logTAR,GLOBAL,-0.8423289233656527
3.124860048,PLANT_KINGDOM_OUTDOOR,logTAR,GLOBAL,-1.0686893570419693
3.249639988,PLANT_KINGDOM_OUTDOOR,logTAR,GLOBAL,-1.0862926918468037
3.37451005,PLANT_KINGDOM_OUTDOOR,logTAR,GLOBAL,-1.005861521486597
3.499490023,PLANT_KINGDOM_OUTDOOR,logTAR,GLOBAL,-0.8250237965892404
3.624469996,PLANT_KINGDOM_OUTDOOR,logTAR,GLOBAL,-0.5237773259727088
3.749340057,PLANT_KINGDOM_OUTDOOR,logTAR,GLOBAL,-0.24460653872781024
3.874419928,PLANT_KINGDOM_OUTDOOR,logTAR,GLOBAL,-0.10156740746304012
3.999490023,PLANT_KINGDOM_OUTDOOR,logTAR,GLOBAL,-0.04249804218658622
4.124469996,PLANT_KINGDOM_OUTDOOR,logTAR,GLOBAL,-0.1204689657516968
4.249350071,PLANT_KINGDOM_OUTDOOR,logTAR,GLOBAL,-0.22212951989293656
4.374219894,PLANT_KINGDOM_OUTDOOR,logTAR,GLOBAL,-0.2757232802187477
4.499199867,PLANT_KINGDOM_OUTDOOR,logTAR,GLOBAL,-0.2704296845618272
4.624180079,PLANT_KINGDOM_OUTDOOR,logTAR,GLOBAL,-0.2347691109138654
4.749150038,PLANT_KINGDOM_OUTDOOR,logTAR,GLOBAL,-0.23519040390856805
4.874130011,PLANT_KINGDOM_OUTDOOR,logTAR,GLOBAL,-0.29636321063903265
4.999009848,PLANT_KINGDOM_OUTDOOR,logTAR,GLOBAL,-0.4051390962882526
5.124079943,PLANT_KINGDOM_OUTDOOR,logTAR,GLOBAL,-0.46791563558963223
5.249160051,PLANT_KINGDOM_OUTDOOR,logTAR,GLOBAL,-0.5788469637917792
5.374140024,PLANT_KINGDOM_OUTDOOR,logTAR,GLOBAL,-0.7476488618977557
5.499019861,PLANT_KINGDOM_OUTDOOR,logTAR,GLOBAL,-0.8306510725694252
5.624089956,PLANT_KINGDOM_OUTDOOR,logTAR,GLOBAL,-0.8063975272646221
