t_mid_s,Time_mid,Session,Band,Region,Entropy,n_ch
5.0,2025-10-05 16:12:45.822329998,BASELINE_EC,Theta,Frontal,0.9857568686109321,11
5.0,2025-10-05 16:12:45.822329998,BASELINE_EC,Theta,Temporal,0.9322304436915165,4
5.0,2025-10-05 16:12:45.822329998,BASELINE_EC,Theta,Central,0.9380529200297327,3
5.0,2025-10-05 16:12:45.822329998,BASELINE_EC,Theta,Parietal,0.9706763602979338,9
5.0,2025-10-05 16:12:45.822329998,BASELINE_EC,Theta,Occipital,0.9775539082946353,5
5.0,2025-10-05 16:12:45.822329998,BASELINE_EC,Alpha,Frontal,0.9889217374625193,11
5.0,2025-10-05 16:12:45.822329998,BASELINE_EC,Alpha,Temporal,0.9761182358093218,4
5.0,2025-10-05 16:12:45.822329998,BASELINE_EC,Alpha,Central,0.9122779257805644,3
5.0,2025-10-05 16:12:45.822329998,BASELINE_EC,Alpha,Parietal,0.9164425930523455,9
5.0,2025-10-05 16:12:45.822329998,BASELINE_EC,Alpha,Occipital,0.9525954749845132,5
5.0,2025-10-05 16:12:45.822329998,BASELINE_EC,BetaL,Frontal,0.9905822023066039,11
5.0,2025-10-05 16:12:45.822329998,BASELINE_EC,BetaL,Temporal,0.9163832031707025,4
5.0,2025-10-05 16:12:45.822329998,BASELINE_EC,BetaL,Central,0.9618676808991465,3
5.0,2025-10-05 16:12:45.822329998,BASELINE_EC,BetaL,Parietal,0.977313613570191,9
5.0,2025-10-05 16:12:45.822329998,BASELINE_EC,BetaL,Occipital,0.9793926265521333,5
5.0,2025-10-05 16:12:45.822329998,BASELINE_EC,BetaH,Frontal,0.9918682000354052,11
5.0,2025-10-05 16:12:45.822329998,BASELINE_EC,BetaH,Temporal,0.9281213939551508,4
5.0,2025-10-05 16:12:45.822329998,BASELINE_EC,BetaH,Central,0.9338274359667172,3
5.0,2025-10-05 16:12:45.822329998,BASELINE_EC,BetaH,Parietal,0.972999445941723,9
5.0,2025-10-05 16:12:45.822329998,BASELINE_EC,BetaH,Occipital,0.947088816852025,5
5.0,2025-10-05 16:12:45.822329998,BASELINE_EC,Gamma,Frontal,0.9871697191664845,11
5.0,2025-10-05 16:12:45.822329998,BASELINE_EC,Gamma,Temporal,0.9794426055702361,4
5.0,2025-10-05 16:12:45.822329998,BASELINE_EC,Gamma,Central,0.915248571803332,3
5.0,2025-10-05 16:12:45.822329998,BASELINE_EC,Gamma,Parietal,0.9456452550615787,9
5.0,2025-10-05 16:12:45.822329998,BASELINE_EC,Gamma,Occipital,0.9143329797612285,5
10.0,2025-10-05 16:12:50.822020054,BASELINE_EC,Theta,Frontal,0.9904828930418845,11
10.0,2025-10-05 16:12:50.822020054,BASELINE_EC,Theta,Temporal,0.9504648015460043,4
10.0,2025-10-05 16:12:50.822020054,BASELINE_EC,Theta,Central,0.9393647661819167,3
10.0,2025-10-05 16:12:50.822020054,BASELINE_EC,Theta,Parietal,0.9779833147021318,9
10.0,2025-10-05 16:12:50.822020054,BASELINE_EC,Theta,Occipital,0.9737445308466021,5
10.0,2025-10-05 16:12:50.822020054,BASELINE_EC,Alpha,Frontal,0.9867967603210099,11
10.0,2025-10-05 16:12:50.822020054,BASELINE_EC,Alpha,Temporal,0.9829882319451,4
10.0,2025-10-05 16:12:50.822020054,BASELINE_EC,Alpha,Central,0.8903303063524265,3
10.0,2025-10-05 16:12:50.822020054,BASELINE_EC,Alpha,Parietal,0.9273091483823116,9
10.0,2025-10-05 16:12:50.822020054,BASELINE_EC,Alpha,Occipital,0.9463408959570968,5
10.0,2025-10-05 16:12:50.822020054,BASELINE_EC,BetaL,Frontal,0.9908014171953774,11
10.0,2025-10-05 16:12:50.822020054,BASELINE_EC,BetaL,Temporal,0.9217478148802524,4
10.0,2025-10-05 16:12:50.822020054,BASELINE_EC,BetaL,Central,0.9509140380308773,3
10.0,2025-10-05 16:12:50.822020054,BASELINE_EC,BetaL,Parietal,0.9746779460425894,9
10.0,2025-10-05 16:12:50.822020054,BASELINE_EC,BetaL,Occipital,0.9799684185084033,5
10.0,2025-10-05 16:12:50.822020054,BASELINE_EC,BetaH,Frontal,0.9923400120797288,11
10.0,2025-10-05 16:12:50.822020054,BASELINE_EC,BetaH,Temporal,0.9459505464494881,4
10.0,2025-10-05 16:12:50.822020054,BASELINE_EC,BetaH,Central,0.9298490855810098,3
10.0,2025-10-05 16:12:50.822020054,BASELINE_EC,BetaH,Parietal,0.9764560687016053,9
10.0,2025-10-05 16:12:50.822020054,BASELINE_EC,BetaH,Occipital,0.9486578265776664,5
10.0,2025-10-05 16:12:50.822020054,BASELINE_EC,Gamma,Frontal,0.9836978635372645,11
10.0,2025-10-05 16:12:50.822020054,BASELINE_EC,Gamma,Temporal,0.9767908152653508,4
10.0,2025-10-05 16:12:50.822020054,BASELINE_EC,Gamma,Central,0.9342887727925172,3
10.0,2025-10-05 16:12:50.822020054,BASELINE_EC,Gamma,Parietal,0.9533702763747818,9
10.0,2025-10-05 16:12:50.822020054,BASELINE_EC,Gamma,Occipital,0.9212841095113056,5
15.0,2025-10-05 16:12:55.821520090,BASELINE_EC,Theta,Frontal,0.9934886292040283,11
15.0,2025-10-05 16:12:55.821520090,BASELINE_EC,Theta,Temporal,0.9738927703385739,4
15.0,2025-10-05 16:12:55.821520090,BASELINE_EC,Theta,Central,0.9162504075918275,3
