t_mid_s,Time_mid,Session,Band,Region,Entropy,n_ch
5.0,2025-10-30 13:49:15.460589886,PLANT_KINGDOM_OUTDOOR,Theta,Frontal,0.9879426051840984,11
5.0,2025-10-30 13:49:15.460589886,PLANT_KINGDOM_OUTDOOR,Theta,Temporal,0.9132277881596518,4
5.0,2025-10-30 13:49:15.460589886,PLANT_KINGDOM_OUTDOOR,Theta,Central,0.9704357705058717,3
5.0,2025-10-30 13:49:15.460589886,PLANT_KINGDOM_OUTDOOR,Theta,Parietal,0.9645332387207651,9
5.0,2025-10-30 13:49:15.460589886,PLANT_KINGDOM_OUTDOOR,Theta,Occipital,0.9737760350147892,5
5.0,2025-10-30 13:49:15.460589886,PLANT_KINGDOM_OUTDOOR,Alpha,Frontal,0.9859448192906877,11
5.0,2025-10-30 13:49:15.460589886,PLANT_KINGDOM_OUTDOOR,Alpha,Temporal,0.9314546298112854,4
5.0,2025-10-30 13:49:15.460589886,PLANT_KINGDOM_OUTDOOR,Alpha,Central,0.9775080901405805,3
5.0,2025-10-30 13:49:15.460589886,PLANT_KINGDOM_OUTDOOR,Alpha,Parietal,0.8754217705208871,9
5.0,2025-10-30 13:49:15.460589886,PLANT_KINGDOM_OUTDOOR,Alpha,Occipital,0.9288575267255141,5
5.0,2025-10-30 13:49:15.460589886,PLANT_KINGDOM_OUTDOOR,BetaL,Frontal,0.9931236477977178,11
5.0,2025-10-30 13:49:15.460589886,PLANT_KINGDOM_OUTDOOR,BetaL,Temporal,0.9241679793747059,4
5.0,2025-10-30 13:49:15.460589886,PLANT_KINGDOM_OUTDOOR,BetaL,Central,0.974049087152477,3
5.0,2025-10-30 13:49:15.460589886,PLANT_KINGDOM_OUTDOOR,BetaL,Parietal,0.9725110209988209,9
5.0,2025-10-30 13:49:15.460589886,PLANT_KINGDOM_OUTDOOR,BetaL,Occipital,0.984955022482367,5
5.0,2025-10-30 13:49:15.460589886,PLANT_KINGDOM_OUTDOOR,BetaH,Frontal,0.9910524947204357,11
5.0,2025-10-30 13:49:15.460589886,PLANT_KINGDOM_OUTDOOR,BetaH,Temporal,0.906966283360258,4
5.0,2025-10-30 13:49:15.460589886,PLANT_KINGDOM_OUTDOOR,BetaH,Central,0.9807252809183965,3
5.0,2025-10-30 13:49:15.460589886,PLANT_KINGDOM_OUTDOOR,BetaH,Parietal,0.9702623587425833,9
5.0,2025-10-30 13:49:15.460589886,PLANT_KINGDOM_OUTDOOR,BetaH,Occipital,0.9837775165931695,5
5.0,2025-10-30 13:49:15.460589886,PLANT_KINGDOM_OUTDOOR,Gamma,Frontal,0.9923408817950856,11
5.0,2025-10-30 13:49:15.460589886,PLANT_KINGDOM_OUTDOOR,Gamma,Temporal,0.8968966916458521,4
5.0,2025-10-30 13:49:15.460589886,PLANT_KINGDOM_OUTDOOR,Gamma,Central,0.9872764590755924,3
5.0,2025-10-30 13:49:15.460589886,PLANT_KINGDOM_OUTDOOR,Gamma,Parietal,0.9731900213484902,9
5.0,2025-10-30 13:49:15.460589886,PLANT_KINGDOM_OUTDOOR,Gamma,Occipital,0.9935376266788395,5
10.0,2025-10-30 13:49:20.459949970,PLANT_KINGDOM_OUTDOOR,Theta,Frontal,0.9911223316378547,11
10.0,2025-10-30 13:49:20.459949970,PLANT_KINGDOM_OUTDOOR,Theta,Temporal,0.9356700359709297,4
10.0,2025-10-30 13:49:20.459949970,PLANT_KINGDOM_OUTDOOR,Theta,Central,0.9626944311343785,3
10.0,2025-10-30 13:49:20.459949970,PLANT_KINGDOM_OUTDOOR,Theta,Parietal,0.9629648058425941,9
10.0,2025-10-30 13:49:20.459949970,PLANT_KINGDOM_OUTDOOR,Theta,Occipital,0.9793221276384216,5
10.0,2025-10-30 13:49:20.459949970,PLANT_KINGDOM_OUTDOOR,Alpha,Frontal,0.9876856173815711,11
10.0,2025-10-30 13:49:20.459949970,PLANT_KINGDOM_OUTDOOR,Alpha,Temporal,0.9315963106631902,4
10.0,2025-10-30 13:49:20.459949970,PLANT_KINGDOM_OUTDOOR,Alpha,Central,0.9649701533991017,3
10.0,2025-10-30 13:49:20.459949970,PLANT_KINGDOM_OUTDOOR,Alpha,Parietal,0.8482024496782072,9
10.0,2025-10-30 13:49:20.459949970,PLANT_KINGDOM_OUTDOOR,Alpha,Occipital,0.9068125321114732,5
10.0,2025-10-30 13:49:20.459949970,PLANT_KINGDOM_OUTDOOR,BetaL,Frontal,0.9941031060833607,11
10.0,2025-10-30 13:49:20.459949970,PLANT_KINGDOM_OUTDOOR,BetaL,Temporal,0.948309258296451,4
10.0,2025-10-30 13:49:20.459949970,PLANT_KINGDOM_OUTDOOR,BetaL,Central,0.9765191711010243,3
10.0,2025-10-30 13:49:20.459949970,PLANT_KINGDOM_OUTDOOR,BetaL,Parietal,0.9681959475934968,9
10.0,2025-10-30 13:49:20.459949970,PLANT_KINGDOM_OUTDOOR,BetaL,Occipital,0.9868248039785654,5
10.0,2025-10-30 13:49:20.459949970,PLANT_KINGDOM_OUTDOOR,BetaH,Frontal,0.9920272501352542,11
10.0,2025-10-30 13:49:20.459949970,PLANT_KINGDOM_OUTDOOR,BetaH,Temporal,0.9516532616678173,4
10.0,2025-10-30 13:49:20.459949970,PLANT_KINGDOM_OUTDOOR,BetaH,Central,0.9803721026684662,3
10.0,2025-10-30 13:49:20.459949970,PLANT_KINGDOM_OUTDOOR,BetaH,Parietal,0.9738661855353512,9
10.0,2025-10-30 13:49:20.459949970,PLANT_KINGDOM_OUTDOOR,BetaH,Occipital,0.9879504101869896,5
10.0,2025-10-30 13:49:20.459949970,PLANT_KINGDOM_OUTDOOR,Gamma,Frontal,0.9903341923250815,11
10.0,2025-10-30 13:49:20.459949970,PLANT_KINGDOM_OUTDOOR,Gamma,Temporal,0.9265041070143336,4
10.0,2025-10-30 13:49:20.459949970,PLANT_KINGDOM_OUTDOOR,Gamma,Central,0.9933621458852251,3
10.0,2025-10-30 13:49:20.459949970,PLANT_KINGDOM_OUTDOOR,Gamma,Parietal,0.9784772907558572,9
10.0,2025-10-30 13:49:20.459949970,PLANT_KINGDOM_OUTDOOR,Gamma,Occipital,0.9928575245161272,5
15.0,2025-10-30 13:49:25.460619926,PLANT_KINGDOM_OUTDOOR,Theta,Frontal,0.9233746770719636,11
15.0,2025-10-30 13:49:25.460619926,PLANT_KINGDOM_OUTDOOR,Theta,Temporal,0.9598501471046148,4
15.0,2025-10-30 13:49:25.460619926,PLANT_KINGDOM_OUTDOOR,Theta,Central,0.9594172682555081,3
15.0,2025-10-30 13:49:25.460619926,PLANT_KINGDOM_OUTDOOR,Theta,Parietal,0.963007330523855,9
15.0,2025-10-30 13:49:25.460619926,PLANT_KINGDOM_OUTDOOR,Theta,Occipital,0.9863814703145508,5
15.0,2025-10-30 13:49:25.460619926,PLANT_KINGDOM_OUTDOOR,Alpha,Frontal,0.9901682852212166,11
15.0,2025-10-30 13:49:25.460619926,PLANT_KINGDOM_OUTDOOR,Alpha,Temporal,0.9485894238979203,4
15.0,2025-10-30 13:49:25.460619926,PLANT_KINGDOM_OUTDOOR,Alpha,Central,0.9615241985205638,3
15.0,2025-10-30 13:49:25.460619926,PLANT_KINGDOM_OUTDOOR,Alpha,Parietal,0.8906747606343434,9
15.0,2025-10-30 13:49:25.460619926,PLANT_KINGDOM_OUTDOOR,Alpha,Occipital,0.9239852372858679,5
15.0,2025-10-30 13:49:25.460619926,PLANT_KINGDOM_OUTDOOR,BetaL,Frontal,0.9890094093250023,11
15.0,2025-10-30 13:49:25.460619926,PLANT_KINGDOM_OUTDOOR,BetaL,Temporal,0.9173189717497122,4
15.0,2025-10-30 13:49:25.460619926,PLANT_KINGDOM_OUTDOOR,BetaL,Central,0.9679644373405191,3
15.0,2025-10-30 13:49:25.460619926,PLANT_KINGDOM_OUTDOOR,BetaL,Parietal,0.9525136663750307,9
15.0,2025-10-30 13:49:25.460619926,PLANT_KINGDOM_OUTDOOR,BetaL,Occipital,0.9886613756973845,5
15.0,2025-10-30 13:49:25.460619926,PLANT_KINGDOM_OUTDOOR,BetaH,Frontal,0.9930507992095888,11
15.0,2025-10-30 13:49:25.460619926,PLANT_KINGDOM_OUTDOOR,BetaH,Temporal,0.9678083546930848,4
15.0,2025-10-30 13:49:25.460619926,PLANT_KINGDOM_OUTDOOR,BetaH,Central,0.9867397421387721,3
15.0,2025-10-30 13:49:25.460619926,PLANT_KINGDOM_OUTDOOR,BetaH,Parietal,0.9778404404459511,9
15.0,2025-10-30 13:49:25.460619926,PLANT_KINGDOM_OUTDOOR,BetaH,Occipital,0.9905479108830917,5
15.0,2025-10-30 13:49:25.460619926,PLANT_KINGDOM_OUTDOOR,Gamma,Frontal,0.98978466164369,11
15.0,2025-10-30 13:49:25.460619926,PLANT_KINGDOM_OUTDOOR,Gamma,Temporal,0.9629494040627979,4
