Session_slope,Region,t_mid_s_slope,Exponent_median,Offset_median,t_key,t_mid_s_ent,Time_mid,Session_ent,Band,Entropy,n_ch,t_mid_s
PLANT_KINGDOM_INDOOR,posterior,10.0,1.2202775664601857,2.0088476313522268,2,10.0,2025-10-31 17:27:41.375829935,PLANT_KINGDOM_INDOOR,gamma,0.9823428723684956,5,10.0
PLANT_KINGDOM_INDOOR,posterior,10.0,1.2202775664601857,2.0088476313522268,2,10.0,2025-10-31 17:27:41.375829935,PLANT_KINGDOM_INDOOR,gamma,0.987401060765044,9,10.0
PLANT_KINGDOM_INDOOR,posterior,15.0,1.2040363299270185,2.0441722808898537,3,15.0,2025-10-31 17:27:46.375420094,PLANT_KINGDOM_INDOOR,gamma,0.9847187986846708,9,15.0
PLANT_KINGDOM_INDOOR,posterior,15.0,1.2040363299270185,2.0441722808898537,3,15.0,2025-10-31 17:27:46.375420094,PLANT_KINGDOM_INDOOR,gamma,0.9826294499595868,5,15.0
PLANT_KINGDOM_INDOOR,posterior,20.0,1.2807893744077181,2.145331031832111,4,20.0,2025-10-31 17:27:51.374910116,PLANT_KINGDOM_INDOOR,gamma,0.9886080421287092,5,20.0
PLANT_KINGDOM_INDOOR,posterior,20.0,1.2807893744077181,2.145331031832111,4,20.0,2025-10-31 17:27:51.374910116,PLANT_KINGDOM_INDOOR,gamma,0.9903901366897708,9,20.0
PLANT_KINGDOM_INDOOR,posterior,25.0,1.3052732998538685,2.177832677020825,5,25.0,2025-10-31 17:27:56.374510050,PLANT_KINGDOM_INDOOR,gamma,0.9919094222036722,9,25.0
PLANT_KINGDOM_INDOOR,posterior,25.0,1.3052732998538685,2.177832677020825,5,25.0,2025-10-31 17:27:56.374510050,PLANT_KINGDOM_INDOOR,gamma,0.9851335243937148,5,25.0
PLANT_KINGDOM_INDOOR,posterior,30.0,1.3328958929751389,2.237970766849412,6,30.0,2025-10-31 17:28:01.374200106,PLANT_KINGDOM_INDOOR,gamma,0.9864843611414204,9,30.0
PLANT_KINGDOM_INDOOR,posterior,30.0,1.3328958929751389,2.237970766849412,6,30.0,2025-10-31 17:28:01.374200106,PLANT_KINGDOM_INDOOR,gamma,0.979790339198722,5,30.0
PLANT_KINGDOM_INDOOR,posterior,35.0,1.3142657812776106,2.216734728486271,7,35.0,2025-10-31 17:28:06.373800039,PLANT_KINGDOM_INDOOR,gamma,0.981556948598704,9,35.0
PLANT_KINGDOM_INDOOR,posterior,35.0,1.3142657812776106,2.216734728486271,7,35.0,2025-10-31 17:28:06.373800039,PLANT_KINGDOM_INDOOR,gamma,0.9856617976862372,5,35.0
PLANT_KINGDOM_INDOOR,posterior,40.0,1.4054346121743106,2.277426015964644,8,40.0,2025-10-31 17:28:11.373589993,PLANT_KINGDOM_INDOOR,gamma,0.9818930685996858,9,40.0
PLANT_KINGDOM_INDOOR,posterior,40.0,1.4054346121743106,2.277426015964644,8,40.0,2025-10-31 17:28:11.373589993,PLANT_KINGDOM_INDOOR,gamma,0.9830820412312548,5,40.0
PLANT_KINGDOM_INDOOR,posterior,45.0,1.4122760601626827,2.2548029058032597,9,45.0,2025-10-31 17:28:16.372889996,PLANT_KINGDOM_INDOOR,gamma,0.985831420877799,9,45.0
PLANT_KINGDOM_INDOOR,posterior,45.0,1.4122760601626827,2.2548029058032597,9,45.0,2025-10-31 17:28:16.372889996,PLANT_KINGDOM_INDOOR,gamma,0.981273474732877,5,45.0
PLANT_KINGDOM_INDOOR,posterior,50.0,1.3837065271844797,2.294216293357243,10,50.0,2025-10-31 17:28:21.372580051,PLANT_KINGDOM_INDOOR,gamma,0.9777662458569164,5,50.0
PLANT_KINGDOM_INDOOR,posterior,50.0,1.3837065271844797,2.294216293357243,10,50.0,2025-10-31 17:28:21.372580051,PLANT_KINGDOM_INDOOR,gamma,0.9886988753750005,9,50.0
PLANT_KINGDOM_INDOOR,posterior,55.0,1.4442315596939745,2.2807269712541993,11,55.0,2025-10-31 17:28:26.372279882,PLANT_KINGDOM_INDOOR,gamma,0.9896678110091064,9,55.0
PLANT_KINGDOM_INDOOR,posterior,55.0,1.4442315596939745,2.2807269712541993,11,55.0,2025-10-31 17:28:26.372279882,PLANT_KINGDOM_INDOOR,gamma,0.9786859997652572,5,55.0
PLANT_KINGDOM_INDOOR,posterior,60.0,1.3523017239891872,2.2506534238003333,12,60.0,2025-10-31 17:28:31.371870041,PLANT_KINGDOM_INDOOR,gamma,0.9871048133514932,9,60.0
PLANT_KINGDOM_INDOOR,posterior,60.0,1.3523017239891872,2.2506534238003333,12,60.0,2025-10-31 17:28:31.371870041,PLANT_KINGDOM_INDOOR,gamma,0.9803050300370982,5,60.0
PLANT_KINGDOM_INDOOR,posterior,65.0,1.3210471799829437,2.214267950669104,13,65.0,2025-10-31 17:28:36.371570110,PLANT_KINGDOM_INDOOR,gamma,0.9822806810131745,5,65.0
PLANT_KINGDOM_INDOOR,posterior,65.0,1.3210471799829437,2.214267950669104,13,65.0,2025-10-31 17:28:36.371570110,PLANT_KINGDOM_INDOOR,gamma,0.9817755181070236,9,65.0
PLANT_KINGDOM_INDOOR,posterior,70.0,1.318371653885609,2.200866027083336,14,70.0,2025-10-31 17:28:41.371360064,PLANT_KINGDOM_INDOOR,gamma,0.9846351528004742,9,70.0
PLANT_KINGDOM_INDOOR,posterior,70.0,1.318371653885609,2.200866027083336,14,70.0,2025-10-31 17:28:41.371360064,PLANT_KINGDOM_INDOOR,gamma,0.9818984989559876,5,70.0
PLANT_KINGDOM_INDOOR,posterior,75.0,1.3107741717304071,2.138065521267438,15,75.0,2025-10-31 17:28:46.370759964,PLANT_KINGDOM_INDOOR,gamma,0.9854413611681088,9,75.0
PLANT_KINGDOM_INDOOR,posterior,75.0,1.3107741717304071,2.138065521267438,15,75.0,2025-10-31 17:28:46.370759964,PLANT_KINGDOM_INDOOR,gamma,0.9783950561087872,5,75.0
PLANT_KINGDOM_INDOOR,posterior,80.0,1.2659922973475795,2.105101401968672,16,80.0,2025-10-31 17:28:51.370249987,PLANT_KINGDOM_INDOOR,gamma,0.985832903272659,9,80.0
PLANT_KINGDOM_INDOOR,posterior,80.0,1.2659922973475795,2.105101401968672,16,80.0,2025-10-31 17:28:51.370249987,PLANT_KINGDOM_INDOOR,gamma,0.973282812397813,5,80.0
PLANT_KINGDOM_INDOOR,posterior,85.0,1.2964117915563058,2.106807655938408,17,85.0,2025-10-31 17:28:56.369950056,PLANT_KINGDOM_INDOOR,gamma,0.989074077637268,9,85.0
PLANT_KINGDOM_INDOOR,posterior,85.0,1.2964117915563058,2.106807655938408,17,85.0,2025-10-31 17:28:56.369950056,PLANT_KINGDOM_INDOOR,gamma,0.9714752229772,5,85.0
PLANT_KINGDOM_INDOOR,posterior,90.0,1.2992310026468952,2.08506019673327,18,90.0,2025-10-31 17:29:01.369539976,PLANT_KINGDOM_INDOOR,gamma,0.9868677455263708,9,90.0
PLANT_KINGDOM_INDOOR,posterior,90.0,1.2992310026468952,2.08506019673327,18,90.0,2025-10-31 17:29:01.369539976,PLANT_KINGDOM_INDOOR,gamma,0.970794705182094,5,90.0
PLANT_KINGDOM_INDOOR,posterior,95.0,1.3040104692015309,2.0940237080023625,19,95.0,2025-10-31 17:29:06.368940115,PLANT_KINGDOM_INDOOR,gamma,0.9662269226750512,5,95.0
PLANT_KINGDOM_INDOOR,posterior,95.0,1.3040104692015309,2.0940237080023625,19,95.0,2025-10-31 17:29:06.368940115,PLANT_KINGDOM_INDOOR,gamma,0.9837959388934066,9,95.0
PLANT_KINGDOM_INDOOR,posterior,100.0,1.2985587262800782,2.085967491902498,20,100.0,2025-10-31 17:29:11.368829966,PLANT_KINGDOM_INDOOR,gamma,0.984233690987272,9,100.0
PLANT_KINGDOM_INDOOR,posterior,100.0,1.2985587262800782,2.085967491902498,20,100.0,2025-10-31 17:29:11.368829966,PLANT_KINGDOM_INDOOR,gamma,0.9737593059241966,5,100.0
PLANT_KINGDOM_INDOOR,posterior,105.0,1.3409092415706383,2.158492648592457,21,105.0,2025-10-31 17:29:16.368330002,PLANT_KINGDOM_INDOOR,gamma,0.9854120388182784,9,105.0
PLANT_KINGDOM_INDOOR,posterior,105.0,1.3409092415706383,2.158492648592457,21,105.0,2025-10-31 17:29:16.368330002,PLANT_KINGDOM_INDOOR,gamma,0.974756553075818,5,105.0
PLANT_KINGDOM_INDOOR,posterior,110.0,1.305548647881108,2.10942815457527,22,110.0,2025-10-31 17:29:21.367919922,PLANT_KINGDOM_INDOOR,gamma,0.9851412457174162,9,110.0
PLANT_KINGDOM_INDOOR,posterior,110.0,1.305548647881108,2.10942815457527,22,110.0,2025-10-31 17:29:21.367919922,PLANT_KINGDOM_INDOOR,gamma,0.967855022920722,5,110.0
PLANT_KINGDOM_INDOOR,posterior,115.0,1.315458078175646,2.1165408896962123,23,115.0,2025-10-31 17:29:26.367520094,PLANT_KINGDOM_INDOOR,gamma,0.9851305331242186,9,115.0
PLANT_KINGDOM_INDOOR,posterior,115.0,1.315458078175646,2.1165408896962123,23,115.0,2025-10-31 17:29:26.367520094,PLANT_KINGDOM_INDOOR,gamma,0.9703119061511088,5,115.0
PLANT_KINGDOM_INDOOR,posterior,120.0,1.3238413373957312,2.158900181590821,24,120.0,2025-10-31 17:29:31.367209911,PLANT_KINGDOM_INDOOR,gamma,0.984539001687634,9,120.0
PLANT_KINGDOM_INDOOR,posterior,120.0,1.3238413373957312,2.158900181590821,24,120.0,2025-10-31 17:29:31.367209911,PLANT_KINGDOM_INDOOR,gamma,0.968796286680952,5,120.0
PLANT_KINGDOM_INDOOR,posterior,125.0,1.3795857895169155,2.2322189062234696,25,125.0,2025-10-31 17:29:36.366810083,PLANT_KINGDOM_INDOOR,gamma,0.9832544630788816,9,125.0
PLANT_KINGDOM_INDOOR,posterior,125.0,1.3795857895169155,2.2322189062234696,25,125.0,2025-10-31 17:29:36.366810083,PLANT_KINGDOM_INDOOR,gamma,0.9689042554461404,5,125.0
PLANT_KINGDOM_INDOOR,posterior,130.0,1.447568213215507,2.249717794105514,26,130.0,2025-10-31 17:29:41.366400003,PLANT_KINGDOM_INDOOR,gamma,0.9652546981585932,5,130.0
PLANT_KINGDOM_INDOOR,posterior,130.0,1.447568213215507,2.249717794105514,26,130.0,2025-10-31 17:29:41.366400003,PLANT_KINGDOM_INDOOR,gamma,0.9820766405781604,9,130.0
