Session_slope,Region,t_mid_s_slope,Exponent_median,Offset_median,t_key,t_mid_s_ent,Time_mid,Session_ent,Band,Entropy,n_ch,t_mid_s
PLANT_KINGDOM_OUTDOOR,central,10.0,0.3096903248121489,1.0239931794225368,2,10.0,2025-10-30 13:49:20.459949970,PLANT_KINGDOM_OUTDOOR,theta,0.9626944311343784,3,10.0
PLANT_KINGDOM_OUTDOOR,central,10.0,0.3096903248121489,1.0239931794225368,2,10.0,2025-10-30 13:49:20.459949970,PLANT_KINGDOM_OUTDOOR,theta,0.9356700359709296,4,10.0
PLANT_KINGDOM_OUTDOOR,central,15.0,0.3824722047174799,1.253804522912302,3,15.0,2025-10-30 13:49:25.460619926,PLANT_KINGDOM_OUTDOOR,theta,0.9598501471046148,4,15.0
PLANT_KINGDOM_OUTDOOR,central,15.0,0.3824722047174799,1.253804522912302,3,15.0,2025-10-30 13:49:25.460619926,PLANT_KINGDOM_OUTDOOR,theta,0.959417268255508,3,15.0
PLANT_KINGDOM_OUTDOOR,central,20.0,0.36885897637574383,1.1012581555243584,4,20.0,2025-10-30 13:49:30.459310055,PLANT_KINGDOM_OUTDOOR,theta,0.9406032755833942,4,20.0
PLANT_KINGDOM_OUTDOOR,central,20.0,0.36885897637574383,1.1012581555243584,4,20.0,2025-10-30 13:49:30.459310055,PLANT_KINGDOM_OUTDOOR,theta,0.9606035303070358,3,20.0
PLANT_KINGDOM_OUTDOOR,central,25.0,1.126862130274398,2.006982342821156,5,25.0,2025-10-30 13:49:35.459199905,PLANT_KINGDOM_OUTDOOR,theta,0.9164957408603732,4,25.0
PLANT_KINGDOM_OUTDOOR,central,25.0,1.126862130274398,2.006982342821156,5,25.0,2025-10-30 13:49:35.459199905,PLANT_KINGDOM_OUTDOOR,theta,0.9506417546079114,3,25.0
PLANT_KINGDOM_OUTDOOR,central,30.0,1.0577418569681414,1.8772745547394907,6,30.0,2025-10-30 13:49:40.458780050,PLANT_KINGDOM_OUTDOOR,theta,0.9388419062508592,4,30.0
PLANT_KINGDOM_OUTDOOR,central,30.0,1.0577418569681414,1.8772745547394907,6,30.0,2025-10-30 13:49:40.458780050,PLANT_KINGDOM_OUTDOOR,theta,0.9491796516617338,3,30.0
