Session,Channel,Exponent,Offset,_canon
PLANT_KINGDOM_INDOOR,Cz,1.347400640015639,2.425980793058351,Cz
PLANT_KINGDOM_INDOOR,Fz,1.3494495609789636,2.3184521051370064,Fz
PLANT_KINGDOM_INDOOR,Fp1,1.017525704485979,1.923135700664398,Fp1
PLANT_KINGDOM_INDOOR,F7,1.0871507727923961,1.81329625992476,F7
PLANT_KINGDOM_INDOOR,F3,1.2458768056752751,2.13612896434819,F3
PLANT_KINGDOM_INDOOR,FC1,1.313748782055609,2.1351704303331633,FC1
PLANT_KINGDOM_INDOOR,C3,1.3725411029004009,2.2306793076440457,C3
PLANT_KINGDOM_INDOOR,FC5,1.2134494695053695,1.98438873779113,FC5
PLANT_KINGDOM_INDOOR,FT9,1.1450889850447503,1.4453093141059827,FT9
PLANT_KINGDOM_INDOOR,T7,1.182910779660705,1.6693495965443932,T7
PLANT_KINGDOM_INDOOR,CP5,1.2286867835518815,1.9147581322354223,CP5
PLANT_KINGDOM_INDOOR,CP1,1.4764041138598674,2.28269514433499,CP1
PLANT_KINGDOM_INDOOR,P3,1.3315745469321807,2.260190235121393,P3
PLANT_KINGDOM_INDOOR,P7,1.2017282442062849,1.7475171186242402,P7
PLANT_KINGDOM_INDOOR,PO9,1.085415208627963,1.5823443268796156,PO9
PLANT_KINGDOM_INDOOR,O1,1.1972346714189757,2.0983729723432316,O1
PLANT_KINGDOM_INDOOR,Pz,1.4843174285491822,2.4908002425676194,Pz
PLANT_KINGDOM_INDOOR,Oz,1.2258105647715478,2.1168219968372752,Oz
PLANT_KINGDOM_INDOOR,O2,1.1550952040894673,2.0856290947911065,O2
PLANT_KINGDOM_INDOOR,PO10,1.3250304043886536,2.0855168290268544,PO10
PLANT_KINGDOM_INDOOR,P8,1.468628883842135,2.4473844280987054,P8
PLANT_KINGDOM_INDOOR,P4,1.441334897502698,2.5172335638428645,P4
PLANT_KINGDOM_INDOOR,CP2,1.4728862191917156,2.4838649754309503,CP2
PLANT_KINGDOM_INDOOR,CP6,1.4456211764948865,2.4210297951426663,CP6
PLANT_KINGDOM_INDOOR,T8,1.4933713382051548,2.3904920759530435,T8
PLANT_KINGDOM_INDOOR,FT10,1.3525571737715438,2.0088423626466425,FT10
PLANT_KINGDOM_INDOOR,FC6,1.3170018368090257,2.242374385977411,FC6
PLANT_KINGDOM_INDOOR,C4,1.3869439607889873,2.4139611568062174,C4
PLANT_KINGDOM_INDOOR,FC2,1.3043293658671118,1.9408969130563343,FC2
PLANT_KINGDOM_INDOOR,F4,1.2690029553703743,2.1902106416974063,F4
PLANT_KINGDOM_INDOOR,F8,1.2327073346544293,2.050125518973944,F8
PLANT_KINGDOM_INDOOR,Fp2,1.0747043599080237,2.0002189299061715,Fp2
