Metric,Band,Region,Δ_tau_1overE_s,Δ_MeanDwellAbove_s,ACF_tau_1overE_s_OUTDOOR,ACF_tau_1overE_s_INDOOR,MeanDwellAbove_s_OUTDOOR,MeanDwellAbove_s_INDOOR,AnchorType_OUTDOOR,AnchorType_INDOOR
Entropy,Alpha,Central,-1.5614420371474163,0.0,4.0662310131845265,5.627673050331943,135.0,135.0,BASELINE_EC_median,BASELINE_EC_median
Entropy,Alpha,Frontal,-0.32067028773568396,7.0,5.939438834403086,6.26010912213877,12.0,5.0,BASELINE_EC_median,BASELINE_EC_median
Entropy,Alpha,Occipital,-1.6444490408470047,,5.625392223320932,7.269841264167937,11.25,,BASELINE_EC_median,BASELINE_EC_median
Entropy,Alpha,Parietal,1.0585882012557999,-11.0,6.817724940558087,5.759136739302287,9.0,20.0,BASELINE_EC_median,BASELINE_EC_median
Entropy,Alpha,Temporal,-1.4196692684254337,,4.324725091064584,5.744394359490018,,,BASELINE_EC_median,BASELINE_EC_median
Entropy,BetaH,Central,4.741715200621416,0.0,8.000784594927566,3.2590693943061506,135.0,135.0,BASELINE_EC_median,BASELINE_EC_median
Entropy,BetaH,Frontal,-0.2426316562866857,,4.996239596522564,5.23887125280925,15.0,,BASELINE_EC_median,BASELINE_EC_median
Entropy,BetaH,Occipital,3.2626646390987286,130.0,7.907271045050573,4.644606405951844,135.0,5.0,BASELINE_EC_median,BASELINE_EC_median
Entropy,BetaH,Parietal,4.701135680697508,-19.666666666666664,8.309521189880211,3.6083855091827037,22.0,41.666666666666664,BASELINE_EC_median,BASELINE_EC_median
Entropy,BetaH,Temporal,6.162425101285855,,12.193232893657946,6.030807792372091,26.666666666666668,,BASELINE_EC_median,BASELINE_EC_median
Entropy,BetaL,Central,0.5236688246210557,0.0,7.395124535220133,6.8714557105990774,65.0,65.0,BASELINE_EC_median,BASELINE_EC_median
Entropy,BetaL,Frontal,0.1199856733970801,9.0,5.350798469195653,5.230812795798573,14.0,5.0,BASELINE_EC_median,BASELINE_EC_median
Entropy,BetaL,Occipital,-0.5673015486845996,18.75,7.253476199948724,7.820777748633324,26.25,7.5,BASELINE_EC_median,BASELINE_EC_median
Entropy,BetaL,Parietal,-0.45070821955179685,-117.5,4.912797354078025,5.363505573629822,17.5,135.0,BASELINE_EC_median,BASELINE_EC_median
Entropy,BetaL,Temporal,2.553570956428337,26.666666666666668,9.721331118899803,7.167760162471466,31.666666666666668,5.0,BASELINE_EC_median,BASELINE_EC_median
Entropy,Gamma,Central,0.3645840051444811,0.0,6.690954167040709,6.326370161896228,135.0,135.0,BASELINE_EC_median,BASELINE_EC_median
Entropy,Gamma,Frontal,-2.0291006893696117,9.166666666666668,6.816754658664912,8.845855348034524,16.666666666666668,7.5,BASELINE_EC_median,BASELINE_EC_median
Entropy,Gamma,Occipital,-29.102781294827576,0.0,7.244602294217546,36.34738358904512,135.0,135.0,BASELINE_EC_median,BASELINE_EC_median
Entropy,Gamma,Parietal,8.908223105593095,-106.25,14.636866720538073,5.728643614944979,28.75,135.0,BASELINE_EC_median,BASELINE_EC_median
Entropy,Gamma,Temporal,0.6989860905397771,,7.236218549278646,6.537232458738869,,16.666666666666668,BASELINE_EC_median,BASELINE_EC_median
Entropy,Theta,Central,0.39438847029896884,-70.0,7.196173006041457,6.801784535742488,65.0,135.0,BASELINE_EC_median,BASELINE_EC_median
Entropy,Theta,Frontal,-4.043969426366152,0.0,5.577698759220333,9.621668185586485,7.5,7.5,BASELINE_EC_median,BASELINE_EC_median
Entropy,Theta,Occipital,1.5143681964869549,47.5,6.874941543038706,5.360573346551751,65.0,17.5,BASELINE_EC_median,BASELINE_EC_median
Entropy,Theta,Parietal,0.2463582146431893,-119.0,4.764852336196898,4.518494121553709,16.0,135.0,BASELINE_EC_median,BASELINE_EC_median
Entropy,Theta,Temporal,-0.9912116676482237,5.0,6.526157165013087,7.517368832661311,10.0,5.0,BASELINE_EC_median,BASELINE_EC_median
