Time,Band,v_cos
2025-10-31 17:27:31.501529931,Theta,0.004315103716786339
2025-10-31 17:27:31.626620054,Theta,0.002451752708550692
2025-10-31 17:27:31.751509905,Theta,0.0016438546951668132
2025-10-31 17:27:31.876600027,Theta,0.003304566842713852
2025-10-31 17:27:32.001499891,Theta,0.007010093345847235
2025-10-31 17:27:32.126490116,Theta,0.007074842952869864
2025-10-31 17:27:32.251379966,Theta,0.0030905726958416757
2025-10-31 17:27:32.376369953,Theta,0.0010442034408036927
2025-10-31 17:27:32.501270055,Theta,0.0009277399925000651
2025-10-31 17:27:32.626359940,Theta,0.0012222614271959475
2025-10-31 17:27:32.751250029,Theta,0.001772535886307991
2025-10-31 17:27:32.876240015,Theta,0.0026764034464397124
2025-10-31 17:27:33.001140118,Theta,0.0038600726582334044
2025-10-31 17:27:33.126230001,Theta,0.004757315561321196
2025-10-31 17:27:33.251120090,Theta,0.0036479113651356476
2025-10-31 17:27:33.376209974,Theta,0.0023306872676701618
2025-10-31 17:27:33.501110077,Theta,0.002594205247489545
2025-10-31 17:27:33.626199961,Theta,0.0023329347422069713
2025-10-31 17:27:33.751090050,Theta,0.001485731129505563
2025-10-31 17:27:33.876179934,Theta,0.0008809247082166571
2025-10-31 17:27:34.001080036,Theta,0.0007843674327202566
2025-10-31 17:27:34.126169919,Theta,0.0010146217842877947
2025-10-31 17:27:34.251060008,Theta,0.0016266859079731022
2025-10-31 17:27:34.376149893,Theta,0.003069083705388942
2025-10-31 17:27:34.500940084,Theta,0.005049783286183884
2025-10-31 17:27:34.626039982,Theta,0.0049311499819262306
2025-10-31 17:27:34.751029968,Theta,0.002782181671455608
2025-10-31 17:27:34.876120090,Theta,0.0012045878284855371
2025-10-31 17:27:35.001110077,Theta,0.001353932882300124
2025-10-31 17:27:35.126209974,Theta,0.0023855429092464187
2025-10-31 17:27:35.251100062,Theta,0.00334552129825072
2025-10-31 17:27:35.376189947,Theta,0.003702793103079971
2025-10-31 17:27:35.500979900,Theta,0.0033567372432027343
2025-10-31 17:27:35.626080036,Theta,0.0024611497166920904
2025-10-31 17:27:35.751070023,Theta,0.0017560444639225237
2025-10-31 17:27:35.876159906,Theta,0.0017075288774186514
2025-10-31 17:27:36.001149893,Theta,0.002079402470250402
2025-10-31 17:27:36.126250029,Theta,0.0025709963953762793
2025-10-31 17:27:36.251140118,Theta,0.0032923170912835253
2025-10-31 17:27:36.376230001,Theta,0.004303087279867945
2025-10-31 17:27:36.501019954,Theta,0.0062313066635136805
2025-10-31 17:27:36.626110077,Theta,0.00898922301874916
2025-10-31 17:27:36.751009941,Theta,0.0075403501067985435
2025-10-31 17:27:36.876100063,Theta,0.00379415986304954
2025-10-31 17:27:37.000989913,Theta,0.0016109223335389888
2025-10-31 17:27:37.126080036,Theta,0.0010223915685497742
2025-10-31 17:27:37.251080036,Theta,0.0010860470762237284
2025-10-31 17:27:37.376169920,Theta,0.0013172987104190792
2025-10-31 17:27:37.501060009,Theta,0.0014481489345213872
2025-10-31 17:27:37.626149893,Theta,0.0014430833223497697
2025-10-31 17:27:37.751049995,Theta,0.00131244416376175
2025-10-31 17:27:37.876140118,Theta,0.0013273328301908194
2025-10-31 17:27:38.001029968,Theta,0.0018160109418939863
2025-10-31 17:27:38.126120089,Theta,0.0028302996254253587
2025-10-31 17:27:38.251019955,Theta,0.005317048599440377
2025-10-31 17:27:38.376110077,Theta,0.010487777656436159
2025-10-31 17:27:38.500900030,Theta,0.016963345992194512
2025-10-31 17:27:38.625989914,Theta,0.01779830513516012
2025-10-31 17:27:38.750790119,Theta,0.010266205938933348
2025-10-31 17:27:38.875880003,Theta,0.004342479742701744
2025-10-31 17:27:39.000669956,Theta,0.0022518574490739685
2025-10-31 17:27:39.125760078,Theta,0.0014796825402290104
2025-10-31 17:27:39.250560045,Theta,0.0011456162657268454
2025-10-31 17:27:39.375750065,Theta,0.0011781387222535855
2025-10-31 17:27:39.500540018,Theta,0.0019264705459746123
2025-10-31 17:27:39.625730038,Theta,0.004623596249020756
2025-10-31 17:27:39.750619888,Theta,0.010290936536546336
2025-10-31 17:27:39.875720024,Theta,0.014628749287667886
2025-10-31 17:27:40.000509977,Theta,0.010453055516551846
2025-10-31 17:27:40.125799894,Theta,0.003750768306228114
2025-10-31 17:27:40.250590086,Theta,0.0020320118263867926
2025-10-31 17:27:40.375689983,Theta,0.003813398977727922
2025-10-31 17:27:40.500580072,Theta,0.005774103318378687
2025-10-31 17:27:40.625770092,Theta,0.0050415638713485755
2025-10-31 17:27:40.750659943,Theta,0.002655737426616289
2025-10-31 17:27:40.875760078,Theta,0.001218657113748134
2025-10-31 17:27:41.000750065,Theta,0.0014787404162418527
2025-10-31 17:27:41.125839949,Theta,0.00274222832694504
2025-10-31 17:27:41.250629902,Theta,0.004057975309751383
2025-10-31 17:27:41.375829935,Theta,0.004768800442919718
2025-10-31 17:27:41.500619888,Theta,0.004276756278071114
2025-10-31 17:27:41.625610113,Theta,0.0037725980975896745
2025-10-31 17:27:41.750499964,Theta,0.005991347193252561
2025-10-31 17:27:41.875689983,Theta,0.006956799380546608
2025-10-31 17:27:42.000489949,Theta,0.004711040597114802
2025-10-31 17:27:42.125780106,Theta,0.0028059749561855085
2025-10-31 17:27:42.250469922,Theta,0.0017589271186075894
2025-10-31 17:27:42.375659943,Theta,0.0013591207772067904
2025-10-31 17:27:42.500560044,Theta,0.0014942781503102243
2025-10-31 17:27:42.625649929,Theta,0.0029712877876534316
2025-10-31 17:27:42.750439882,Theta,0.007905760352678093
2025-10-31 17:27:42.875530005,Theta,0.012134687108435682
2025-10-31 17:27:43.000430107,Theta,0.007589374164910789
2025-10-31 17:27:43.125619888,Theta,0.004117747392456184
2025-10-31 17:27:43.250509977,Theta,0.005303035935253941
2025-10-31 17:27:43.375499964,Theta,0.006311362403124909
2025-10-31 17:27:43.500400066,Theta,0.005204208651321096
2025-10-31 17:27:43.625890017,Theta,0.0030444604890815796
2025-10-31 17:27:43.750580072,Theta,0.001200682772045547
2025-10-31 17:27:43.875669956,Theta,0.0005891358300958993
2025-10-31 17:27:44.000560045,Theta,0.0011394967593099103
2025-10-31 17:27:44.125760078,Theta,0.001802083538625765
2025-10-31 17:27:44.250449896,Theta,0.0015870079590502018
2025-10-31 17:27:44.375639915,Theta,0.001314832992835413
2025-10-31 17:27:44.500730038,Theta,0.0038456653412739517
2025-10-31 17:27:44.625829935,Theta,0.011937275161009175
2025-10-31 17:27:44.750519991,Theta,0.016567033483921856
2025-10-31 17:27:44.875610113,Theta,0.009845904360604951
2025-10-31 17:27:45.000299931,Theta,0.0030081168852907902
2025-10-31 17:27:45.125400066,Theta,0.0009248961941856759
2025-10-31 17:27:45.250289916,Theta,0.0010867977107404947
2025-10-31 17:27:45.375380039,Theta,0.0018592205054589472
2025-10-31 17:27:45.500469923,Theta,0.003383303947577354
2025-10-31 17:27:45.625469923,Theta,0.006482813184578662
2025-10-31 17:27:45.750360012,Theta,0.011052587367468725
2025-10-31 17:27:45.875349998,Theta,0.011373540739653798
2025-10-31 17:27:46.000240088,Theta,0.0066994854534683235
2025-10-31 17:27:46.125339984,Theta,0.004663604780007158
2025-10-31 17:27:46.250230074,Theta,0.004412134693343783
2025-10-31 17:27:46.375420094,Theta,0.004462560522277781
2025-10-31 17:27:46.500109911,Theta,0.003978555572148101
2025-10-31 17:27:46.625299931,Theta,0.002894483425001093
2025-10-31 17:27:46.750200033,Theta,0.0016351169964263779
2025-10-31 17:27:46.875289917,Theta,0.0012682838042910038
2025-10-31 17:27:47.000180006,Theta,0.0025177400833548136
2025-10-31 17:27:47.125269890,Theta,0.0038701697910776822
2025-10-31 17:27:47.250169992,Theta,0.0037665680038801996
2025-10-31 17:27:47.375260115,Theta,0.0036034389232931785
2025-10-31 17:27:47.500050067,Theta,0.0032293117892573386
2025-10-31 17:27:47.625139952,Theta,0.002905267356623331
2025-10-31 17:27:47.750040054,Theta,0.0033235682807797318
2025-10-31 17:27:47.875129938,Theta,0.004324208798917262
2025-10-31 17:27:48.000020027,Theta,0.005524022912754445
2025-10-31 17:27:48.125309944,Theta,0.006481503883395301
2025-10-31 17:27:48.250109911,Theta,0.006878152386543657
2025-10-31 17:27:48.375099897,Theta,0.006424959962553656
2025-10-31 17:27:48.499989986,Theta,0.005164532145488843
2025-10-31 17:27:48.625180006,Theta,0.003572130546718566
2025-10-31 17:27:48.750269890,Theta,0.0026575870370919574
2025-10-31 17:27:48.875469923,Theta,0.0031933490416875543
2025-10-31 17:27:49.000459909,Theta,0.004796236292255562
2025-10-31 17:27:49.125550032,Theta,0.006221566984575877
2025-10-31 17:27:49.250240088,Theta,0.005790870245832247
2025-10-31 17:27:49.375540018,Theta,0.0050671408201479196
2025-10-31 17:27:49.500230073,Theta,0.006521829620126818
2025-10-31 17:27:49.625319958,Theta,0.008543735757897242
2025-10-31 17:27:49.750010014,Theta,0.008309468591836788
2025-10-31 17:27:49.875109911,Theta,0.006544091342809977
2025-10-31 17:27:49.999900103,Theta,0.0036656522064302255
2025-10-31 17:27:50.125089884,Theta,0.0021633019503727313
2025-10-31 17:27:50.249979973,Theta,0.0023911950394382986
2025-10-31 17:27:50.375080109,Theta,0.003569746847189248
2025-10-31 17:27:50.499969959,Theta,0.00433292619361203
2025-10-31 17:27:50.624759912,Theta,0.004326610219863469
2025-10-31 17:27:50.749850035,Theta,0.0029773389661887917
2025-10-31 17:27:50.874949932,Theta,0.0011048001704909716
2025-10-31 17:27:51.000040054,Theta,0.0021127977679640253
2025-10-31 17:27:51.125030041,Theta,0.005734035698680251
2025-10-31 17:27:51.249919891,Theta,0.007423695241359551
2025-10-31 17:27:51.374910116,Theta,0.005634690759303229
2025-10-31 17:27:51.499809980,Theta,0.0029683531255465523
2025-10-31 17:27:51.624900103,Theta,0.0015184754952298762
2025-10-31 17:27:51.749789953,Theta,0.0029703202703057485
2025-10-31 17:27:51.874880075,Theta,0.005831714037886071
2025-10-31 17:27:51.999880075,Theta,0.005547473973948502
2025-10-31 17:27:52.124870062,Theta,0.0025778988242335377
2025-10-31 17:27:52.249759912,Theta,0.000766356767317955
2025-10-31 17:27:52.374850035,Theta,0.0005517988624883507
2025-10-31 17:27:52.499749899,Theta,0.0011264040088054816
2025-10-31 17:27:52.624840021,Theta,0.0021971436561560864
2025-10-31 17:27:52.749730110,Theta,0.003008346143425489
2025-10-31 17:27:52.874819994,Theta,0.0028244792422217335
2025-10-31 17:27:52.999819994,Theta,0.0021472266951625407
2025-10-31 17:27:53.124809980,Theta,0.0021425245723796227
2025-10-31 17:27:53.249700069,Theta,0.0030629801065846785
2025-10-31 17:27:53.374890089,Theta,0.004526349899943494
2025-10-31 17:27:53.499690056,Theta,0.005981747043547259
2025-10-31 17:27:53.624779940,Theta,0.0035486903347502485
2025-10-31 17:27:53.749670029,Theta,0.003318987859000644
2025-10-31 17:27:53.874759912,Theta,0.009184427233436487
2025-10-31 17:27:53.999650002,Theta,0.009106208970381835
2025-10-31 17:27:54.124650002,Theta,0.005538020430491786
2025-10-31 17:27:54.249540091,Theta,0.0031363714999055325
2025-10-31 17:27:54.374730110,Theta,0.0019092873494321871
2025-10-31 17:27:54.499619961,Theta,0.0015058188987825405
2025-10-31 17:27:54.624619961,Theta,0.0020353079530752716
2025-10-31 17:27:54.749510050,Theta,0.003240444906194573
2025-10-31 17:27:54.874599934,Theta,0.00464040783313413
2025-10-31 17:27:54.999490023,Theta,0.0058168672268916755
2025-10-31 17:27:55.124589920,Theta,0.00800280074601123
2025-10-31 17:27:55.249480009,Theta,0.013039442308874882
2025-10-31 17:27:55.374670029,Theta,0.013920019248173543
2025-10-31 17:27:55.499560118,Theta,0.008848337186405764
2025-10-31 17:27:55.624660015,Theta,0.005145329279351407
2025-10-31 17:27:55.749550104,Theta,0.0029479807973135097
2025-10-31 17:27:55.874540091,Theta,0.001128543078623645
2025-10-31 17:27:55.999429941,Theta,0.0006818879681674828
2025-10-31 17:27:56.124629974,Theta,0.0016786508071168216
2025-10-31 17:27:56.249520063,Theta,0.002216712487837502
2025-10-31 17:27:56.374510050,Theta,0.0015995225890426124
2025-10-31 17:27:56.499399900,Theta,0.001537444706865787
2025-10-31 17:27:56.624490023,Theta,0.003260594184636756
2025-10-31 17:27:56.749389887,Theta,0.005266403443916712
2025-10-31 17:27:56.874480009,Theta,0.0054621291621756995
2025-10-31 17:27:56.999370098,Theta,0.0038417543823738853
2025-10-31 17:27:57.124459982,Theta,0.0020522261864032165
2025-10-31 17:27:57.249360085,Theta,0.0010949497769716654
2025-10-31 17:27:57.374449968,Theta,0.0014549114737912872
2025-10-31 17:27:57.499340057,Theta,0.003077874760089694
2025-10-31 17:27:57.624429941,Theta,0.005075861456434683
2025-10-31 17:27:57.749330044,Theta,0.00396287465364209
2025-10-31 17:27:57.874419928,Theta,0.002486273631458147
2025-10-31 17:27:57.999310017,Theta,0.0033649376324615954
2025-10-31 17:27:58.124399900,Theta,0.002972592326752288
2025-10-31 17:27:58.249300003,Theta,0.001984801715042006
2025-10-31 17:27:58.374589920,Theta,0.0013224374039351172
2025-10-31 17:27:58.499380112,Theta,0.0017687883605845833
2025-10-31 17:27:58.624370098,Theta,0.0033565699233548685
2025-10-31 17:27:58.749269962,Theta,0.005102949077326668
2025-10-31 17:27:58.874459982,Theta,0.005948467773781219
2025-10-31 17:27:58.999350071,Theta,0.004492466163406039
2025-10-31 17:27:59.124439955,Theta,0.0019837282839690884
2025-10-31 17:27:59.249330044,Theta,0.0032204497286023592
2025-10-31 17:27:59.374530077,Theta,0.008460346438060817
2025-10-31 17:27:59.499419928,Theta,0.010450240958614687
2025-10-31 17:27:59.624409914,Theta,0.006900646524841569
2025-10-31 17:27:59.749300003,Theta,0.0031299309535468556
2025-10-31 17:27:59.874300003,Theta,0.002319969517742937
2025-10-31 17:27:59.999190092,Theta,0.005001077905291584
2025-10-31 17:28:00.124279976,Theta,0.008367824599468054
2025-10-31 17:28:00.249269962,Theta,0.009855841788195985
2025-10-31 17:28:00.374269962,Theta,0.007852975887687186
2025-10-31 17:28:00.499160051,Theta,0.0050156832064613965
2025-10-31 17:28:00.624249935,Theta,0.005365292901027718
2025-10-31 17:28:00.749140024,Theta,0.00575267315237693
2025-10-31 17:28:00.874239922,Theta,0.004130192440407798
2025-10-31 17:28:00.999130011,Theta,0.0022766276987012946
2025-10-31 17:28:01.124219894,Theta,0.0012865493259620608
2025-10-31 17:28:01.249109983,Theta,0.0009096763361885474
2025-10-31 17:28:01.374200106,Theta,0.0010585924946443503
2025-10-31 17:28:01.499099970,Theta,0.002206866380556116
